Province,GDPPC_1983,GDPPC_1984,GDPPC_1985,GDPPC_1986,GDPPC_1987,GDPPC_1988,GDPPC_1989,GDPPC_1990,GDPPC_1991,GDPPC_1992,GDPPC_1993,GDPPC_1994,GDPPC_1995,GDPPC_1996,GDPPC_1997,GDPPC_1998,GDPPC_1999,GDPPC_2000,GDPPC_2001,GDPPC_2002,GDPPC_2003,GDPPC_2004,GDPPC_2005,GDPPC_2006,GDPPC_2007,GDPPC_2008,GDPPC_2009,GDPPC_2010,GDPPC_2011,GDPPC_2012,GDPPC_2013,GDPPC_2014,GDPPC_2015,GDPPC_2016,GDPPC_2017
East Kalimantan,626.20,728.09,702.69,678.21,648.72,619.97,608.25,616.79,629.18,644.45,634.25,664.45,670.37,691.54,693.31,660.60,661.42,773.23,770.60,745.53,723.51,729.99,734.07,711.37,701.33,712.52,706.22,719.63,741.00,761.21,762.32,759.50,734.70,719.23,727.10
Riau Island,418.00,373.17,353.27,393.23,433.97,445.75,463.47,515.57,521.42,568.55,551.97,570.41,591.99,619.39,633.70,604.36,619.81,325.81,303.34,290.71,365.63,386.20,382.49,387.69,395.15,401.48,396.18,404.98,415.90,433.67,450.87,466.68,480.82,491.14,487.90
Riau,345.42,298.62,273.68,294.84,314.84,312.82,314.55,322.13,316.26,334.87,316.10,318.75,323.29,327.42,326.71,304.01,304.44,323.01,312.22,311.41,433.82,401.40,413.77,404.41,407.69,420.10,422.18,428.97,438.00,442.63,442.03,442.57,432.64,431.68,432.91
Jakarta,213.44,226.72,228.50,231.36,236.49,243.39,258.26,309.08,326.28,347.03,368.48,392.06,419.92,453.26,470.55,383.52,374.01,452.85,466.81,481.93,638.79,654.62,683.88,567.53,596.46,625.95,649.77,684.45,719.46,757.91,795.19,833.42,873.50,916.18,964.09
Papua,189.89,170.60,161.83,166.10,166.24,175.30,187.40,195.78,217.08,228.11,232.78,241.95,283.46,310.23,322.99,353.15,330.17,354.07,339.88,333.02,310.11,232.59,308.11,235.84,234.72,220.98,258.15,239.11,222.45,221.82,236.13,240.48,254.84,271.10,278.67
Aceh,159.98,186.43,186.45,182.36,192.71,204.48,215.09,219.64,225.66,229.40,239.40,237.05,235.33,235.80,230.46,207.81,194.42,187.44,165.54,194.84,202.66,184.15,167.38,165.03,158.23,147.29,136.76,138.14,138.82,141.23,142.02,141.41,137.72,139.63,142.87
West Papua,117.63,104.94,98.86,100.77,100.17,104.94,111.44,115.46,127.86,134.21,136.70,142.02,165.82,181.57,188.81,206.20,192.69,169.80,213.36,201.60,215.77,208.64,222.57,213.05,223.33,236.15,263.78,332.56,333.46,336.56,352.06,361.80,367.24,374.44,380.10
Bangka Belitung Island,87.71,96.20,99.02,101.30,98.99,102.73,108.31,105.84,107.70,110.99,114.54,120.81,129.45,137.36,142.12,130.49,132.73,137.27,141.30,147.08,161.80,160.30,159.12,159.99,163.89,168.03,170.94,177.74,184.72,190.59,196.15,200.91,204.70,208.70,213.68
South Sumatera,83.64,90.92,92.75,94.03,91.06,93.64,97.84,93.95,94.65,96.58,98.71,103.07,109.51,114.87,117.68,106.96,107.69,121.41,122.50,124.55,127.32,131.76,135.29,138.75,144.46,149.36,153.07,159.21,166.05,174.73,181.32,187.15,192.88,199.92,208.22
Central Kalimantan,70.99,72.06,73.75,78.09,80.62,84.22,84.84,87.19,91.59,96.69,98.59,103.24,109.93,118.70,122.58,110.90,107.67,98.93,101.13,105.16,107.12,127.84,132.39,132.86,138.26,144.07,149.34,156.25,162.57,169.66,177.96,184.75,193.32,201.17,210.19
