Province,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aceh,17.08,17.23,17.23,17.21,17.27,17.33,17.38,17.40,17.42,17.44,17.48,17.47,17.47,17.47,17.44,17.34,17.27,17.24,17.11,17.28,17.32,17.22,17.13,17.11,17.07,17.00,16.92,16.93,16.94,16.96,16.96,16.96,16.93,16.94,16.97
North Sumatera,15.86,15.91,15.93,15.97,16.04,16.12,16.19,16.25,16.30,16.36,16.42,16.50,16.57,16.64,16.68,16.55,16.56,16.63,16.67,16.70,16.74,16.78,16.82,16.86,16.92,16.97,17.00,17.05,17.10,17.15,17.19,17.23,17.27,17.31,17.35
West Sumatera,15.81,15.85,15.87,15.91,15.94,15.99,16.04,16.09,16.14,16.19,16.24,16.29,16.37,16.43,16.46,16.38,16.38,16.50,16.52,16.55,16.59,16.62,16.66,16.71,16.76,16.82,16.85,16.89,16.94,16.98,17.03,17.07,17.11,17.15,17.19
Riau,17.85,17.70,17.62,17.69,17.76,17.75,17.76,17.78,17.76,17.82,17.76,17.77,17.78,17.80,17.79,17.72,17.72,17.78,17.75,17.75,18.08,18.00,18.03,18.01,18.02,18.05,18.05,18.07,18.09,18.10,18.10,18.10,18.07,18.07,18.08
Jambi,16.21,16.23,16.27,16.29,16.32,16.39,16.46,16.51,16.53,16.57,16.61,16.65,16.71,16.76,16.76,16.68,16.68,16.84,16.88,16.90,16.92,16.95,16.98,17.02,17.06,17.11,17.15,17.19,17.24,17.29,17.34,17.40,17.42,17.45,17.48
South Sumatera,16.43,16.51,16.53,16.55,16.52,16.54,16.59,16.55,16.56,16.58,16.60,16.64,16.70,16.75,16.77,16.68,16.68,16.80,16.81,16.83,16.85,16.89,16.91,16.94,16.98,17.01,17.04,17.08,17.12,17.17,17.21,17.24,17.27,17.30,17.34
Bengkulu,15.75,15.77,15.80,15.86,15.89,15.95,15.98,15.99,16.04,16.07,16.12,16.15,16.19,16.21,16.20,16.11,16.09,16.18,16.19,16.20,16.33,16.37,16.39,16.45,16.50,16.54,16.58,16.62,16.67,16.71,16.76,16.79,16.83,16.86,16.90
Lampung,15.61,15.70,15.74,15.81,15.88,15.92,15.97,16.01,16.04,16.13,16.19,16.24,16.32,16.37,16.40,16.31,16.31,16.43,16.46,16.50,16.55,16.57,16.59,16.64,16.68,16.72,16.76,16.80,16.85,16.90,16.94,16.98,17.02,17.06,17.10
Bangka Belitung Island,16.48,16.57,16.60,16.62,16.60,16.64,16.69,16.67,16.68,16.71,16.75,16.80,16.87,16.93,16.96,16.88,16.89,16.93,16.96,17.00,17.09,17.08,17.07,17.08,17.10,17.13,17.15,17.19,17.22,17.26,17.28,17.31,17.33,17.35,17.37
Riau Island,18.04,17.93,17.87,17.98,18.08,18.10,18.14,18.25,18.26,18.35,18.32,18.35,18.39,18.43,18.46,18.41,18.43,17.79,17.72,17.68,17.91,17.96,17.95,17.97,17.98,18.00,17.99,18.01,18.04,18.08,18.12,18.15,18.18,18.20,18.20
Jakarta,17.37,17.43,17.44,17.45,17.47,17.50,17.56,17.74,17.79,17.85,17.91,17.98,18.04,18.12,18.16,17.95,17.93,18.12,18.15,18.18,18.46,18.49,18.53,18.35,18.40,18.44,18.48,18.53,18.58,18.64,18.68,18.73,18.78,18.83,18.88
West Java,15.61,15.74,15.78,15.82,15.83,15.89,15.94,16.01,16.06,16.11,16.16,16.21,16.27,16.34,16.37,16.16,16.16,16.31,16.32,16.58,16.60,16.63,16.67,16.70,16.75,16.79,16.82,16.86,16.91,16.95,17.00,17.03,17.07,17.11,17.15
Central Java,15.60,15.71,15.78,15.82,15.87,15.92,15.97,16.02,16.08,16.15,16.20,16.26,16.32,16.39,16.41,16.10,16.31,16.31,16.34,16.37,16.41,16.46,16.50,16.58,16.63,16.68,16.72,16.77,16.81,16.86,16.90,16.94,16.99,17.03,17.08
Yogyakarta,15.77,15.83,15.83,15.90,15.94,15.99,16.05,16.08,16.13,16.20,16.26,16.33,16.41,16.49,16.52,16.40,16.44,16.40,16.44,16.48,16.52,16.56,16.59,16.59,16.63,16.67,16.70,16.74,16.78,16.82,16.86,16.90,16.94,16.98,17.02
East Java,16.01,16.05,16.10,16.15,16.18,16.24,16.30,16.36,16.42,16.48,16.54,16.60,16.67,16.75,16.78,16.60,16.60,16.63,16.66,16.69,16.72,16.77,16.82,16.88,16.93,16.99,17.03,17.09,17.14,17.20,17.25,17.30,17.35,17.40,17.45
Banten,16.11,16.23,16.25,16.28,16.28,16.31,16.35,16.46,16.49,16.52,16.55,16.59,16.58,16.68,16.70,16.47,16.45,16.59,16.60,16.84,16.85,16.85,16.88,16.94,16.97,17.00,17.02,17.06,17.09,17.14,17.18,17.21,17.24,17.27,17.31
Bali,15.84,15.92,15.99,16.05,16.12,16.19,16.26,16.33,16.40,16.48,16.55,16.62,16.69,16.76,16.82,16.76,16.76,16.75,16.75,16.76,16.74,16.77,16.81,16.85,16.88,16.92,16.96,17.00,17.04,17.10,17.15,17.21,17.25,17.30,17.35
West Nusa Tenggara,15.30,15.38,15.39,15.43,15.44,15.48,15.54,15.60,15.66,15.72,15.76,15.82,15.88,15.94,15.98,15.93,15.94,16.22,16.27,16.29,16.32,16.36,16.37,16.37,16.41,16.42,16.52,16.56,16.50,16.47,16.51,16.55,16.73,16.78,16.77
East Nusa Tenggara,15.14,15.19,15.21,15.25,15.27,15.29,15.32,15.37,15.42,15.47,15.55,15.61,15.68,15.74,15.78,15.74,15.75,15.77,15.80,15.84,15.87,15.90,15.92,15.93,15.97,15.99,16.02,16.05,16.09,16.12,16.16,16.19,16.22,16.26,16.29
West Kalimantan,15.67,15.70,15.74,15.85,15.91,16.04,16.06,16.10,16.14,16.18,16.23,16.28,16.35,16.43,16.48,16.41,16.41,16.50,16.51,16.54,16.55,16.58,16.60,16.64,16.69,16.72,16.75,16.79,16.82,16.86,16.91,16.94,16.97,17.01,17.04
